NVDA,TSLA,AAPL,AMD,GOOGL
0.29054,1.89,19.44,3.15,18.61
0.29215,1.89,19.05,3.2,18.78
0.28963,1.84,19.1,2.74,18.62
0.2933,1.82,19.25,2.75,18.52
0.30178,1.87,19.7,2.68,18.61
0.29949,1.92,19.55,2.77,18.88
0.2949,1.87,19.18,2.62,17.37
0.27759,1.85,18.49,2.18,17.04
0.27449,1.86,19.23,2.1,16.96
0.28275,1.89,18.6,2.14,17.01
0.27908,1.83,18.7,2.08,16.93
0.27931,1.83,18.48,2.12,16.94
0.27633,1.83,18.32,2.07,16.88
0.27461,1.88,18.05,2.05,17.0
0.28779,1.95,18.09,2.14,17.19
0.28642,1.93,17.49,2.1,17.19
0.29857,2.1,17.73,2.11,17.07
0.29834,2.08,17.67,2.07,17.04
0.28916,2.1,17.0,2.01,16.68
0.29077,2.09,16.38,1.98,16.3
0.27954,2.02,16.67,2.03,16.57
0.27323,2.07,16.54,1.99,16.64
0.27128,2.11,16.54,2.09,16.47
0.26463,2.09,16.35,1.93,16.31
0.26578,2.05,16.01,1.87,16.18
0.26096,2.12,16.07,1.86,16.18
0.26826,2.19,17.23,1.92,16.7
0.26519,2.2,17.09,1.88,16.75
0.2728,2.16,17.11,1.87,16.64
0.27465,2.14,17.41,1.95,16.7
0.27938,2.15,17.96,1.87,16.53
0.28053,2.14,17.81,1.88,16.76
0.28296,2.22,17.76,1.96,17.09
0.27788,2.25,17.95,2.04,17.29
0.27626,2.25,17.83,2.2,17.46
0.27119,2.31,17.86,2.36,17.38
0.27915,2.26,17.54,2.26,17.27
0.27604,2.25,16.41,2.29,17.19
0.27649,2.26,16.67,2.34,17.28
0.27592,2.28,16.24,2.36,17.1
0.28526,2.3,16.14,2.32,17.13
0.29196,2.35,16.49,2.33,17.42
0.28896,2.35,16.42,2.37,17.44
0.28919,2.24,16.14,2.41,17.56
0.29057,2.25,15.53,2.39,17.55
0.2893,2.29,15.81,2.46,18.02
0.28988,2.31,16.26,2.52,18.02
0.29196,2.31,16.03,2.52,18.0
0.29173,2.3,15.89,2.4,18.06
0.28503,2.27,15.82,2.59,17.89
0.28273,2.29,15.85,2.48,17.73
0.28249,2.24,15.63,2.43,17.72
0.28065,2.25,15.69,2.39,17.65
0.27926,2.21,15.52,2.28,17.5
0.28296,2.26,16.21,2.4,17.68
0.29357,2.36,16.73,2.53,18.08
0.2938,2.32,16.51,2.49,18.09
0.3035,2.29,16.05,2.59,18.45
0.29473,2.29,15.96,2.67,18.37
0.2883,2.25,16.0,2.67,18.33
0.2818,2.24,15.75,2.63,18.45
0.28226,2.24,15.95,2.62,18.53
0.2818,2.19,15.85,2.67,18.5
0.28157,2.22,15.28,2.64,18.08
0.27649,2.26,14.8,2.68,18.12
0.27903,2.27,15.42,2.72,17.88
0.28273,2.29,15.31,2.74,17.78
0.28088,2.3,15.23,2.46,17.61
0.27949,2.35,15.38,2.45,17.57
0.27996,2.4,15.66,2.73,18.53
0.28134,2.47,13.72,2.79,18.84
0.28642,2.47,13.4,2.85,18.84
0.29103,2.54,13.7,2.82,18.76
0.2848,2.53,13.96,2.74,18.84
0.28434,2.5,13.92,2.65,18.84
0.28296,2.5,13.88,2.6,18.89
0.2855,2.55,13.82,2.6,19.39
